regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Brasil,,,76,,,,2020-03-17,12.0,210147125.0,291.0,57.0,1.0,1.0,,,
Brasil,,,76,,,,2020-03-18,12.0,210147125.0,428.0,137.0,4.0,3.0,,,
Brasil,,,76,,,,2020-03-19,12.0,210147125.0,621.0,193.0,6.0,2.0,,,
Brasil,,,76,,,,2020-03-20,12.0,210147125.0,904.0,283.0,11.0,5.0,,,
Brasil,,,76,,,,2020-03-21,12.0,210147125.0,1128.0,224.0,18.0,7.0,,,
Brasil,,,76,,,,2020-03-22,13.0,210147125.0,1546.0,418.0,25.0,7.0,,,
Brasil,,,76,,,,2020-03-23,13.0,210147125.0,1891.0,345.0,34.0,9.0,,,
Brasil,,,76,,,,2020-03-24,13.0,210147125.0,2201.0,310.0,46.0,12.0,,,
Brasil,,,76,,,,2020-03-25,13.0,210147125.0,2433.0,232.0,57.0,11.0,,,
Brasil,,,76,,,,2020-03-26,13.0,210147125.0,2915.0,482.0,77.0,20.0,,,
Brasil,,,76,,,,2020-03-27,13.0,210147125.0,3417.0,502.0,92.0,15.0,,,
Brasil,,,76,,,,2020-03-28,13.0,210147125.0,3903.0,486.0,114.0,22.0,,,
Brasil,,,76,,,,2020-03-29,14.0,210147125.0,4256.0,353.0,136.0,22.0,,,
Brasil,,,76,,,,2020-03-30,14.0,210147125.0,4579.0,323.0,159.0,23.0,,,
Brasil,,,76,,,,2020-03-31,14.0,210147125.0,5717.0,1138.0,201.0,42.0,,,
Brasil,,,76,,,,2020-04-01,14.0,210147125.0,6834.0,1117.0,241.0,40.0,,,
Brasil,,,76,,,,2020-04-02,14.0,210147125.0,7910.0,1076.0,299.0,58.0,,,
Brasil,,,76,,,,2020-04-03,14.0,210147125.0,9056.0,1146.0,359.0,60.0,,,
Brasil,,,76,,,,2020-04-04,14.0,210147125.0,10278.0,1222.0,432.0,73.0,,,
Brasil,,,76,,,,2020-04-05,15.0,210147125.0,11130.0,852.0,486.0,54.0,,,
Brasil,,,76,,,,2020-04-06,15.0,210147125.0,12056.0,926.0,553.0,67.0,,,
Brasil,,,76,,,,2020-04-07,15.0,210147125.0,13717.0,1661.0,667.0,114.0,,,
Brasil,,,76,,,,2020-04-08,15.0,210147125.0,15927.0,2210.0,800.0,133.0,,,
Brasil,,,76,,,,2020-04-09,15.0,210147125.0,17857.0,1930.0,941.0,141.0,,,
Brasil,,,76,,,,2020-04-10,15.0,210147125.0,19638.0,1781.0,1056.0,115.0,,,
Brasil,,,76,,,,2020-04-11,15.0,210147125.0,20727.0,1089.0,1124.0,68.0,,,
Brasil,,,76,,,,2020-04-12,16.0,210147125.0,22169.0,1442.0,1223.0,99.0,,,
Brasil,,,76,,,,2020-04-13,16.0,210147125.0,23430.0,1261.0,1328.0,105.0,,,
Brasil,,,76,,,,2020-04-14,16.0,210147125.0,25262.0,1832.0,1532.0,204.0,,,
Brasil,,,76,,,,2020-04-15,16.0,210147125.0,28320.0,3058.0,1736.0,204.0,,,
Brasil,,,76,,,,2020-04-16,16.0,210147125.0,30425.0,2105.0,1924.0,188.0,,,
Brasil,,,76,,,,2020-04-17,16.0,210147125.0,33682.0,3257.0,2141.0,217.0,,,
Brasil,,,76,,,,2020-04-18,16.0,210147125.0,36599.0,2917.0,2347.0,206.0,,,
Brasil,,,76,,,,2020-04-19,17.0,210147125.0,38654.0,2055.0,2462.0,115.0,22130.0,14062.0,
Brasil,,,76,,,,2020-04-20,17.0,210147125.0,40581.0,1927.0,2575.0,113.0,22991.0,15015.0,
Brasil,,,76,,,,2020-04-21,17.0,210147125.0,43079.0,2498.0,2741.0,166.0,24325.0,16013.0,
Brasil,,,76,,,,2020-04-22,17.0,210147125.0,45757.0,2678.0,2906.0,165.0,25318.0,17533.0,
Brasil,,,76,,,,2020-04-23,17.0,210147125.0,49492.0,3735.0,3313.0,407.0,26573.0,19606.0,
Brasil,,,76,,,,2020-04-24,17.0,210147125.0,52995.0,3503.0,3670.0,357.0,27655.0,21670.0,
Brasil,,,76,,,,2020-04-25,17.0,210147125.0,58509.0,5514.0,4016.0,346.0,29160.0,25333.0,
Brasil,,,76,,,,2020-04-26,18.0,210147125.0,61888.0,3379.0,4205.0,189.0,30152.0,27531.0,
Brasil,,,76,,,,2020-04-27,18.0,210147125.0,66501.0,4613.0,4543.0,338.0,31142.0,30816.0,
Brasil,,,76,,,,2020-04-28,18.0,210147125.0,71886.0,5385.0,5017.0,474.0,32544.0,34325.0,
Brasil,,,76,,,,2020-04-29,18.0,210147125.0,78162.0,6276.0,5466.0,449.0,34132.0,38564.0,
Brasil,,,76,,,,2020-04-30,18.0,210147125.0,85380.0,7218.0,5901.0,435.0,35935.0,43544.0,
Brasil,,,76,,,,2020-05-01,18.0,210147125.0,91299.0,5919.0,6329.0,428.0,38039.0,47221.0,
Brasil,,,76,,,,2020-05-02,18.0,210147125.0,96396.0,5097.0,6724.0,395.0,40937.0,48872.0,
Brasil,,,76,,,,2020-05-03,19.0,210147125.0,101147.0,4751.0,7025.0,301.0,42991.0,51131.0,
Brasil,,,76,,,,2020-05-04,19.0,210147125.0,107780.0,6633.0,7321.0,296.0,45186.0,55273.0,
Brasil,,,76,,,,2020-05-05,19.0,210147125.0,114715.0,6935.0,7921.0,600.0,48221.0,58573.0,
Brasil,,,76,,,,2020-05-06,19.0,210147125.0,125218.0,10503.0,8535.0,614.0,51370.0,65312.0,
Brasil,,,76,,,,2020-05-07,19.0,210147125.0,135106.0,9888.0,9146.0,611.0,55350.0,70610.0,
Brasil,,,76,,,,2020-05-08,19.0,210147125.0,145328.0,10222.0,9895.0,749.0,59297.0,76134.0,
Brasil,,,76,,,,2020-05-09,19.0,210147125.0,155939.0,10611.0,10627.0,732.0,61685.0,83627.0,
Brasil,,,76,,,,2020-05-10,20.0,210147125.0,162699.0,6760.0,11123.0,496.0,64957.0,86619.0,
Brasil,,,76,,,,2020-05-11,20.0,210147125.0,168331.0,5632.0,11519.0,396.0,67384.0,89429.0,
Brasil,,,76,,,,2020-05-12,20.0,210147125.0,177589.0,9258.0,12400.0,881.0,72597.0,92593.0,
Brasil,,,76,,,,2020-05-13,20.0,210147125.0,188974.0,11385.0,13149.0,749.0,78424.0,97402.0,
Brasil,,,76,,,,2020-05-14,20.0,210147125.0,202918.0,13944.0,13993.0,844.0,79479.0,109446.0,
Brasil,,,76,,,,2020-05-15,20.0,210147125.0,218223.0,15305.0,14817.0,824.0,84970.0,118436.0,
Brasil,,,76,,,,2020-05-16,20.0,210147125.0,233142.0,14919.0,15633.0,816.0,89672.0,127837.0,
Brasil,,,76,,,,2020-05-17,21.0,210147125.0,241080.0,7938.0,16118.0,485.0,94122.0,130840.0,
Brasil,,,76,,,,2020-05-18,21.0,210147125.0,254220.0,13140.0,16792.0,674.0,100459.0,136969.0,
Brasil,,,76,,,,2020-05-19,21.0,210147125.0,271628.0,17408.0,17971.0,1179.0,106794.0,146863.0,
Brasil,,,76,,,,2020-05-20,21.0,210147125.0,291579.0,19951.0,18859.0,888.0,116683.0,156037.0,
Brasil,,,76,,,,2020-05-21,21.0,210147125.0,310087.0,18508.0,20047.0,1188.0,125960.0,164080.0,
Brasil,,,76,,,,2020-05-22,21.0,210147125.0,330890.0,20803.0,21046.0,999.0,135430.0,174412.0,
Brasil,,,76,,,,2020-05-23,21.0,210147125.0,347398.0,16508.0,22013.0,967.0,142587.0,182798.0,
Brasil,,,76,,,,2020-05-24,22.0,210147125.0,363211.0,15813.0,22666.0,653.0,149911.0,190634.0,
Brasil,,,76,,,,2020-05-25,22.0,210147125.0,374898.0,11687.0,23473.0,807.0,153833.0,197592.0,
Brasil,,,76,,,,2020-05-26,22.0,210147125.0,391222.0,16324.0,24512.0,1039.0,158593.0,208117.0,
Brasil,,,76,,,,2020-05-27,22.0,210147125.0,411821.0,20599.0,25598.0,1086.0,166647.0,219576.0,
Brasil,,,76,,,,2020-05-28,22.0,210147125.0,438238.0,26417.0,26754.0,1156.0,177604.0,233880.0,
Brasil,,,76,,,,2020-05-29,22.0,210147125.0,465166.0,26928.0,27878.0,1124.0,189476.0,247812.0,
Brasil,,,76,,,,2020-05-30,22.0,210147125.0,498440.0,33274.0,28834.0,956.0,200892.0,268714.0,
Brasil,,,76,,,,2020-05-31,23.0,210147125.0,514200.0,15760.0,29314.0,480.0,206555.0,278331.0,
Brasil,,,76,,,,2020-06-01,23.0,210147125.0,526447.0,12247.0,29937.0,623.0,211080.0,285430.0,
Brasil,,,76,,,,2020-06-02,23.0,210147125.0,555383.0,28936.0,31199.0,1262.0,223638.0,300546.0,
Brasil,,,76,,,,2020-06-03,23.0,210147125.0,584016.0,28633.0,32548.0,1349.0,238617.0,312851.0,
Brasil,,,76,,,,2020-06-04,23.0,210147125.0,614941.0,30925.0,34021.0,1473.0,254963.0,325957.0,
Brasil,,,76,,,,2020-06-05,23.0,210147125.0,645771.0,30830.0,35026.0,1005.0,266940.0,343805.0,
Brasil,,,76,,,,2020-06-06,23.0,210147125.0,672846.0,27075.0,35930.0,904.0,277149.0,359767.0,
Brasil,,,76,,,,2020-06-07,24.0,210147125.0,691758.0,18912.0,36455.0,525.0,283952.0,371351.0,
Brasil,,,76,,,,2020-06-08,24.0,210147125.0,707412.0,15654.0,37134.0,679.0,290040.0,380238.0,
Brasil,,,76,,,,2020-06-09,24.0,210147125.0,739503.0,32091.0,38406.0,1272.0,311064.0,390033.0,
Brasil,,,76,,,,2020-06-10,24.0,210147125.0,772416.0,32913.0,39680.0,1274.0,325395.0,407341.0,
Brasil,,,76,,,,2020-06-11,24.0,210147125.0,802828.0,30412.0,40919.0,1239.0,345595.0,416314.0,
Brasil,,,76,,,,2020-06-12,24.0,210147125.0,828810.0,25982.0,41828.0,909.0,365063.0,421919.0,
Brasil,,,76,,,,2020-06-13,24.0,210147125.0,850514.0,21704.0,42720.0,892.0,379245.0,428549.0,
Brasil,,,76,,,,2020-06-14,25.0,210147125.0,867624.0,17110.0,43332.0,612.0,388492.0,435800.0,
Brasil,,,76,,,,2020-06-15,25.0,210147125.0,888271.0,20647.0,43959.0,627.0,412252.0,432060.0,
Brasil,,,76,,,,2020-06-16,25.0,210147125.0,923189.0,34918.0,45241.0,1282.0,441729.0,436219.0,
Brasil,,,76,,,,2020-06-17,25.0,210147125.0,955377.0,32188.0,46510.0,1269.0,463474.0,445393.0,
Brasil,,,76,,,,2020-06-18,25.0,210147125.0,978142.0,22765.0,47748.0,1238.0,482102.0,448292.0,
Brasil,,,76,,,,2020-06-19,25.0,210147125.0,1032913.0,54771.0,48954.0,1206.0,507200.0,476759.0,
Brasil,,,76,,,,2020-06-20,25.0,210147125.0,1067579.0,34666.0,49976.0,1022.0,520734.0,496869.0,
Brasil,,,76,,,,2020-06-21,26.0,210147125.0,1085038.0,17459.0,50617.0,641.0,549386.0,485035.0,
Brasil,,,76,,,,2020-06-22,26.0,210147125.0,1106470.0,21432.0,51271.0,654.0,571649.0,483550.0,
Brasil,,,76,,,,2020-06-23,26.0,210147125.0,1145906.0,39436.0,52645.0,1374.0,613345.0,479916.0,
Brasil,,,76,,,,2020-06-24,26.0,210147125.0,1188631.0,42725.0,53830.0,1185.0,649908.0,484893.0,
Brasil,,,76,,,,2020-06-25,26.0,210147125.0,1228114.0,39483.0,54971.0,1141.0,673729.0,499414.0,
Brasil,,,76,,,,2020-06-26,26.0,210147125.0,1274974.0,46860.0,55961.0,990.0,697526.0,521487.0,
Brasil,,,76,,,,2020-06-27,26.0,210147125.0,1313667.0,38693.0,57070.0,1109.0,715905.0,540692.0,
Brasil,,,76,,,,2020-06-28,27.0,210147125.0,1344143.0,30476.0,57622.0,552.0,733848.0,552673.0,
Brasil,,,76,,,,2020-06-29,27.0,210147125.0,1368195.0,24052.0,58314.0,692.0,757462.0,552419.0,
Brasil,,,76,,,,2020-06-30,27.0,210147125.0,1402041.0,33846.0,59594.0,1280.0,790040.0,552407.0,
Brasil,,,76,,,,2020-07-01,27.0,210147125.0,1448753.0,46712.0,60632.0,1038.0,826866.0,561255.0,
Brasil,,,76,,,,2020-07-02,27.0,210147125.0,1496858.0,48105.0,61884.0,1252.0,852816.0,582158.0,
Brasil,,,76,,,,2020-07-03,27.0,210147125.0,1539081.0,42223.0,63174.0,1290.0,868372.0,607535.0,
Brasil,,,76,,,,2020-07-04,27.0,210147125.0,1577004.0,37923.0,64265.0,1091.0,876359.0,636380.0,
Brasil,,,76,,,,2020-07-05,28.0,210147125.0,1603055.0,26051.0,64867.0,602.0,906286.0,631902.0,
Brasil,,,76,,,,2020-07-06,28.0,210147125.0,1623284.0,20229.0,65487.0,620.0,927292.0,630505.0,
Brasil,,,76,,,,2020-07-07,28.0,210147125.0,1668589.0,45305.0,66741.0,1254.0,976977.0,624871.0,
Brasil,,,76,,,,2020-07-08,28.0,210147125.0,1713160.0,44571.0,67964.0,1223.0,1020901.0,624295.0,
Brasil,,,76,,,,2020-07-09,28.0,210147125.0,1755779.0,42619.0,69184.0,1220.0,1054043.0,632552.0,
Brasil,,,76,,,,2020-07-10,28.0,210147125.0,1800827.0,45048.0,70398.0,1214.0,1078763.0,651666.0,
Brasil,,,76,,,,2020-07-11,28.0,210147125.0,1839850.0,39023.0,71469.0,1071.0,1100873.0,667508.0,
Brasil,,,76,,,,2020-07-12,29.0,210147125.0,1864681.0,24831.0,72100.0,631.0,1123204.0,669377.0,
Brasil,,,76,,,,2020-07-13,29.0,210147125.0,1884967.0,20286.0,72833.0,733.0,1154837.0,657297.0,
Brasil,,,76,,,,2020-07-14,29.0,210147125.0,1926824.0,41857.0,74133.0,1300.0,1209208.0,643483.0,
Brasil,,,76,,,,2020-07-15,29.0,210147125.0,1966748.0,39924.0,75366.0,1233.0,1255564.0,635818.0,
Brasil,,,76,,,,2020-07-16,29.0,210147125.0,2012151.0,45403.0,76688.0,1322.0,1296328.0,639135.0,
Brasil,,,76,,,,2020-07-17,29.0,210147125.0,2046328.0,34177.0,77851.0,1163.0,1321036.0,647441.0,
Brasil,,,76,,,,2020-07-18,29.0,210147125.0,2074860.0,28532.0,78772.0,921.0,1342362.0,653726.0,
Brasil,,,76,,,,2020-07-19,30.0,210147125.0,2098389.0,23529.0,79488.0,716.0,1371229.0,647672.0,
Brasil,,,76,,,,2020-07-20,30.0,210147125.0,2118646.0,20257.0,80120.0,632.0,1409202.0,629324.0,
Brasil,,,76,,,,2020-07-21,30.0,210147125.0,2159654.0,41008.0,81487.0,1367.0,1465970.0,612197.0,
Brasil,,,76,,,,2020-07-22,30.0,210147125.0,2227514.0,67860.0,82771.0,1284.0,1532138.0,612605.0,
Brasil,,,76,,,,2020-07-23,30.0,210147125.0,2287475.0,59961.0,84082.0,1311.0,1570237.0,633156.0,
Brasil,,,76,,,,2020-07-24,30.0,210147125.0,2343366.0,55891.0,85238.0,1156.0,1592281.0,665847.0,
Brasil,,,76,,,,2020-07-25,30.0,210147125.0,2394513.0,51147.0,86449.0,1211.0,1617480.0,690584.0,
Brasil,,,76,,,,2020-07-26,31.0,210147125.0,2419091.0,24578.0,87004.0,555.0,1634274.0,697813.0,
Brasil,,,76,,,,2020-07-27,31.0,210147125.0,2442375.0,23284.0,87618.0,614.0,1667667.0,687090.0,
Brasil,,,76,,,,2020-07-28,31.0,210147125.0,2483191.0,40816.0,88539.0,921.0,1721560.0,673092.0,
Brasil,,,76,,,,2020-07-29,31.0,210147125.0,2552265.0,69074.0,90134.0,1595.0,1786753.0,675378.0,
Brasil,,,76,,,,2020-07-30,31.0,210147125.0,2610102.0,57837.0,91263.0,1129.0,1824095.0,694744.0,
Brasil,,,76,,,,2020-07-31,31.0,210147125.0,2662485.0,52383.0,92475.0,1212.0,1844051.0,725959.0,
Brasil,,,76,,,,2020-08-01,31.0,210147125.0,2707877.0,45392.0,93563.0,1088.0,1865729.0,748585.0,
Brasil,,,76,,,,2020-08-02,32.0,210147125.0,2733677.0,25800.0,94104.0,541.0,1883677.0,755896.0,
Brasil,,,76,,,,2020-08-03,32.0,210147125.0,2750318.0,16641.0,94665.0,561.0,1912319.0,743334.0,
Brasil,,,76,,,,2020-08-04,32.0,210147125.0,2801921.0,51603.0,95819.0,1154.0,1970767.0,735335.0,
Brasil,,,76,,,,2020-08-05,32.0,210147125.0,2857597.0,55676.0,97240.0,1421.0,2020637.0,741180.0,
Brasil,,,76,,,,2020-08-06,32.0,210147125.0,2912212.0,54615.0,98493.0,1253.0,2080916.0,781954.0,
Brasil,,,76,,,,2020-08-07,32.0,210147125.0,2962442.0,50230.0,99572.0,1079.0,2068394.0,794476.0,
Brasil,,,76,,,,2020-08-08,32.0,210147125.0,3012412.0,49970.0,100477.0,905.0,2094293.0,817642.0,
Brasil,,,76,,,,2020-08-09,33.0,210147125.0,3035422.0,23010.0,101049.0,572.0,2118460.0,815913.0,
Brasil,,,76,,,,2020-08-10,33.0,210147125.0,3057470.0,22048.0,101752.0,703.0,2163812.0,791906.0,
Brasil,,,76,,,,2020-08-11,33.0,210147125.0,3109630.0,52160.0,103026.0,1274.0,2243124.0,763480.0,
Brasil,,,76,,,,2020-08-12,33.0,210147125.0,3164785.0,55155.0,104201.0,1175.0,2309477.0,751107.0,
Brasil,,,76,,,,2020-08-13,33.0,210147125.0,3224876.0,60091.0,105463.0,1262.0,2356640.0,762773.0,
Brasil,,,76,,,,2020-08-14,33.0,210147125.0,3275520.0,50644.0,106523.0,1060.0,2384302.0,784695.0,
Brasil,,,76,,,,2020-08-15,33.0,210147125.0,3317096.0,41576.0,107232.0,709.0,2404272.0,805592.0,
Brasil,,,76,,,,2020-08-16,34.0,210147125.0,3340197.0,23101.0,107852.0,620.0,2432456.0,799889.0,
Brasil,,,76,,,,2020-08-17,34.0,210147125.0,3359570.0,19373.0,108536.0,684.0,2478494.0,772540.0,
Brasil,,,76,,,,2020-08-18,34.0,210147125.0,3407354.0,47784.0,109888.0,1352.0,2554179.0,743287.0,
Brasil,,,76,,,,2020-08-19,34.0,210147125.0,3456652.0,49298.0,111100.0,1212.0,2615254.0,730298.0,
Brasil,,,76,,,,2020-08-20,34.0,210147125.0,3501975.0,45323.0,112304.0,1204.0,2653407.0,736264.0,
Brasil,,,76,,,,2020-08-21,34.0,210147125.0,3532330.0,30355.0,113358.0,1054.0,2670755.0,748217.0,
Brasil,,,76,,,,2020-08-22,34.0,210147125.0,3582362.0,50032.0,114250.0,892.0,2709638.0,758474.0,
Brasil,,,76,,,,2020-08-23,35.0,210147125.0,3605783.0,23421.0,114744.0,494.0,2739035.0,752004.0,
Brasil,,,76,,,,2020-08-24,35.0,210147125.0,3622861.0,17078.0,115309.0,565.0,2778709.0,728843.0,
Brasil,,,76,,,,2020-08-25,35.0,210147125.0,3669995.0,47134.0,116580.0,1271.0,2848395.0,705020.0,
Brasil,,,76,,,,2020-08-26,35.0,210147125.0,3717156.0,47161.0,117665.0,1085.0,2908848.0,690642.0,
Brasil,,,76,,,,2020-08-27,35.0,210147125.0,3761391.0,44235.0,118649.0,984.0,2947250.0,695492.0,
Brasil,,,76,,,,2020-08-28,35.0,210147125.0,3804803.0,43412.0,119504.0,855.0,2976796.0,708503.0,
Brasil,,,76,,,,2020-08-29,35.0,210147125.0,3846153.0,41350.0,120462.0,958.0,3006679.0,719012.0,
Brasil,,,76,,,,2020-08-30,36.0,210147125.0,3862311.0,16158.0,120828.0,366.0,3031626.0,709857.0,
Brasil,,,76,,,,2020-08-31,36.0,210147125.0,3908272.0,45961.0,121381.0,553.0,3097734.0,689157.0,
Brasil,,,76,,,,2020-09-01,36.0,210147125.0,3950931.0,42659.0,122596.0,1215.0,3159096.0,669239.0,
Brasil,,,76,,,,2020-09-02,36.0,210147125.0,3997865.0,46934.0,123780.0,1184.0,3210405.0,663680.0,
Brasil,,,76,,,,2020-09-03,36.0,210147125.0,4041638.0,43773.0,124614.0,834.0,3247610.0,669414.0,
Brasil,,,76,,,,2020-09-04,36.0,210147125.0,4092832.0,51194.0,125521.0,907.0,3278918.0,688393.0,
Brasil,,,76,,,,2020-09-05,36.0,210147125.0,4123000.0,30168.0,126203.0,682.0,3296702.0,700095.0,
Brasil,,,76,,,,2020-09-06,37.0,210147125.0,4137521.0,14521.0,126650.0,447.0,3317227.0,693644.0,
Brasil,,,76,,,,2020-09-07,37.0,210147125.0,4147794.0,10273.0,126960.0,310.0,3355564.0,665270.0,
Brasil,,,76,,,,2020-09-08,37.0,210147125.0,4162073.0,14279.0,127464.0,504.0,3397234.0,637375.0,
Brasil,,,76,,,,2020-09-09,37.0,210147125.0,4197889.0,35816.0,128539.0,1075.0,3453336.0,616014.0,
Brasil,,,76,,,,2020-09-10,37.0,210147125.0,4238446.0,40557.0,129522.0,983.0,3497337.0,611587.0,
Brasil,,,76,,,,2020-09-11,37.0,210147125.0,4282164.0,43718.0,130396.0,874.0,3530655.0,621113.0,
Brasil,,,76,,,,2020-09-12,37.0,210147125.0,4315687.0,33523.0,131210.0,814.0,3553421.0,631056.0,
Brasil,,,76,,,,2020-09-13,38.0,210147125.0,4330455.0,14768.0,131625.0,415.0,3573958.0,624872.0,
Brasil,,,76,,,,2020-09-14,38.0,210147125.0,4345610.0,15155.0,132006.0,381.0,3613184.0,600420.0,
Brasil,,,76,,,,2020-09-15,38.0,210147125.0,4382263.0,36653.0,133119.0,1113.0,3671128.0,578016.0,
Brasil,,,76,,,,2020-09-16,38.0,210147125.0,4419083.0,36820.0,134106.0,987.0,3720312.0,564665.0,
Brasil,,,76,,,,2020-09-17,38.0,210147125.0,4455386.0,36303.0,134935.0,829.0,3753082.0,567369.0,
Brasil,,,76,,,,2020-09-18,38.0,210147125.0,4495183.0,39797.0,135793.0,858.0,3789139.0,570251.0,
Brasil,,,76,,,,2020-09-19,38.0,210147125.0,4528240.0,33057.0,136532.0,739.0,3820095.0,571613.0,
Brasil,,,76,,,,2020-09-20,39.0,210147125.0,4544629.0,16389.0,136895.0,363.0,3851227.0,556507.0,
Brasil,,,76,,,,2020-09-21,39.0,210147125.0,4558068.0,13439.0,137272.0,377.0,3887199.0,533597.0,
Brasil,,,76,,,,2020-09-22,39.0,210147125.0,4591604.0,33536.0,138108.0,836.0,3945627.0,507869.0,
Brasil,,,76,,,,2020-09-23,39.0,210147125.0,4624885.0,33281.0,138977.0,869.0,3992886.0,493022.0,
Brasil,,,76,,,,2020-09-24,39.0,210147125.0,4657702.0,32817.0,139808.0,831.0,4023789.0,494105.0,
Brasil,,,76,,,,2020-09-25,39.0,210147125.0,4689613.0,31911.0,140537.0,729.0,4040949.0,508127.0,
Brasil,,,76,,,,2020-09-26,39.0,210147125.0,4717991.0,28378.0,141406.0,869.0,4050837.0,525748.0,
Brasil,,,76,,,,2020-09-27,40.0,210147125.0,4732309.0,14318.0,141741.0,335.0,4060088.0,530480.0,
Brasil,,,76,,,,2020-09-28,40.0,210147125.0,4745464.0,13155.0,142058.0,317.0,4084182.0,519224.0,
Brasil,,,76,,,,2020-09-29,40.0,210147125.0,4777522.0,32058.0,142921.0,863.0,4135088.0,499513.0,
Brasil,,,76,,,,2020-09-30,40.0,210147125.0,4810935.0,33413.0,143952.0,1031.0,4180376.0,486607.0,
Brasil,,,76,,,,2020-10-01,40.0,210147125.0,4847092.0,36157.0,144680.0,728.0,4212772.0,489640.0,
Brasil,,,76,,,,2020-10-02,40.0,210147125.0,4880523.0,33431.0,145388.0,708.0,4232593.0,502542.0,
Brasil,,,76,,,,2020-10-03,40.0,210147125.0,4906833.0,26310.0,145987.0,599.0,4248574.0,512272.0,
Brasil,,,76,,,,2020-10-04,41.0,210147125.0,4915289.0,8456.0,146352.0,365.0,4263208.0,505729.0,
Brasil,,,76,,,,2020-10-05,41.0,210147125.0,4927235.0,11946.0,146675.0,323.0,4295302.0,485258.0,
Brasil,,,76,,,,2020-10-06,41.0,210147125.0,4969141.0,41906.0,147494.0,819.0,4352871.0,468776.0,
Brasil,,,76,,,,2020-10-07,41.0,210147125.0,5000694.0,31553.0,148228.0,734.0,4391424.0,461042.0,
Brasil,,,76,,,,2020-10-08,41.0,210147125.0,5028444.0,27750.0,148957.0,729.0,4414564.0,464923.0,
Brasil,,,76,,,,2020-10-09,41.0,210147125.0,5055888.0,27444.0,149639.0,682.0,4433595.0,472654.0,
Brasil,,,76,,,,2020-10-10,41.0,210147125.0,5082637.0,26749.0,150198.0,559.0,4453722.0,478717.0,
Brasil,,,76,,,,2020-10-11,42.0,210147125.0,5094979.0,12342.0,150488.0,290.0,4470163.0,474328.0,
Brasil,,,76,,,,2020-10-12,42.0,210147125.0,5103408.0,8429.0,150689.0,201.0,4495269.0,457450.0,
Brasil,,,76,,,,2020-10-13,42.0,210147125.0,5113628.0,10220.0,150998.0,309.0,4526975.0,435655.0,
Brasil,,,76,,,,2020-10-14,42.0,210147125.0,5140863.0,27235.0,151747.0,749.0,4568813.0,420303.0,
Brasil,,,76,,,,2020-10-15,42.0,210147125.0,5169386.0,28523.0,152460.0,713.0,4599446.0,417480.0,
Brasil,,,76,,,,2020-10-16,42.0,210147125.0,5200300.0,30914.0,153214.0,754.0,4619560.0,427526.0,
Brasil,,,76,,,,2020-10-17,42.0,210147125.0,5224362.0,24062.0,153675.0,461.0,4635315.0,435372.0,
Brasil,,,76,,,,2020-10-18,43.0,210147125.0,5235344.0,10982.0,153905.0,230.0,4650030.0,431409.0,
